name,recclass,mass,fall,year,id,latitude,longitude,country_code
Jiddat al Harasis 508,L6,387.9,Found,2008,50921,19.66977,55.5124,OM
Umm as Samim 030,H3.9-6,10.06,Found,2010,55640,21.09165,55.51098,OM
Ramlat as Sahmah 316,L5,2706,Found,2009,51988,20.89485,55.50613,OM
Shalim 003,H5,10350,Found,2001,23516,18.18233,55.50183,OM
Shalim 004,H5,10350,Found,2001,23517,18.18233,55.50183,OM
Tarfa,L6,1040,Found,1954,23879,19.5,55.5,OM
Shalim 014,L6,34.1,Found,2009,51967,18.99932,55.49522,OM
Ramlat as Sahmah 317,L5,237.2,Found,2009,51989,20.89328,55.49375,OM
Ramlat as Sahmah 318,L5,1172.4,Found,2009,51990,20.89335,55.4936,OM
Ramlat as Sahmah 294,L6,52.9,Found,2009,51895,20.69282,55.49222,OM
Ramlat as Sahmah 288,L4-6,73.3,Found,2009,51889,20.45708,55.49138,OM
Jiddat al Harasis 688,H4,24.4,Found,2011,56241,19.47695,55.48955,OM
Jiddat al Harasis 555,H5,1759.6,Found,2008,50948,19.57205,55.48655,OM
Shalim 009,L6,9472.2,Found,2009,51962,18.87253,55.47592,OM
Ramlat as Sahmah 315,H6,2.9,Found,2009,51987,20.80178,55.4736,OM
Ramlat as Sahmah 314,H6,219,Found,2009,51986,20.8016,55.47315,OM
Al Huwaysah 010,Achondrite-ung,1411.8,Found,2010,55637,22.74868,55.47218,OM
Ramlat as Sahmah 313,H6,111.3,Found,2009,51985,20.79892,55.47203,OM
Ramlat as Sahmah 312,H6,472.7,Found,2009,51984,20.7982,55.47148,OM
Ramlat as Sahmah 338,H3.6,934.7,Found,2010,55644,20.80265,55.46678,OM
Ramlat as Sahmah 340,L6,414.1,Found,2010,55432,20.79315,55.46493,OM
Umm as Samim 015,L6,395.66,Found,2010,55416,21.34533,55.463,OM
Ramlat as Sahmah 339,H3.6-6,1035.8,Found,2010,55645,20.79882,55.46208,OM
Ramlat as Sahmah 337,H3.6,1119.8,Found,2010,55643,20.81403,55.46177,OM
Jiddat al Harasis 689,H5,11.67,Found,2011,56242,19.44323,55.46112,OM
Umm as Samim 016,H5,3.86,Found,2010,55417,21.34387,55.45712,OM
Umm as Samim 017,H3-6,61.31,Found,2010,56102,21.34422,55.45513,OM
Ramlat as Sahmah 341,L6,325.37,Found,2010,55433,20.78722,55.45475,OM
Ramlat as Sahmah 336,H6,4.92,Found,2010,55431,20.80853,55.45428,OM
Shalim 008,H5,323.5,Found,2009,51961,18.86795,55.45073,OM
Ramlat as Sahmah 332,H5,123.74,Found,2010,55429,20.80423,55.44888,OM
Ramlat as Sahmah 311,H4-6,20.3,Found,2009,51983,20.78388,55.44787,OM
Jiddat al Harasis 076,L6,300.56,Found,2002,12136,19.05003,55.44435,OM
Jiddat al Harasis 691,H5,27.6,Found,2011,56244,19.48505,55.44432,OM
Ramlat as Sahmah 333,H3.6,100.68,Found,2010,55641,20.80225,55.44393,OM
Jiddat al Harasis 690,H6,632.1,Found,2011,56243,19.4305,55.44352,OM
Ramlat as Sahmah 310,H3-6,1223.2,Found,2009,51982,20.78308,55.44327,OM
Shalim 010,L6,291.6,Found,2009,51963,18.88868,55.43785,OM
Ramlat as Sahmah 309,Brachinite,1435.43,Found,2009,51981,20.7658,55.43587,OM
Ramlat as Sahmah 319,H5,948.4,Found,2009,51991,20.88187,55.43452,OM
Jiddat al Harasis 711,H5,2222,Found,2011,56263,19.54542,55.43347,OM
Ramlat as Sahmah 342,H4,519.3,Found,2010,55434,20.76032,55.43335,OM
Jiddat al Harasis 615,H5,111.3,Found,2009,51971,19.15512,55.43118,OM
Ramlat as Sahmah 335,L3.9,9.79,Found,2010,55642,20.80103,55.43055,OM
Ramlat as Sahmah 264,L6,1074,Found,1989,48632,20.70923,55.42876,OM
Ramlat as Sahmah 295,H4,227.7,Found,2009,51896,20.66973,55.42813,OM
Ramlat as Sahmah 320,L6,1002.3,Found,2009,51992,20.8728,55.42773,OM
Ramlat as Sahmah 334,L6,80.48,Found,2010,55430,20.7827,55.42668,OM
Ramlat as Sahmah 323,L3-6,161.8,Found,2009,51995,20.79907,55.4247,OM
Jiddat al Harasis 616,H4,360.5,Found,2009,51972,19.17135,55.4217,OM
Ramlat as Sahmah 321,H5,171.9,Found,2009,51993,20.88473,55.42098,OM
Jiddat al Harasis 617,H5,128.4,Found,2009,51973,19.19395,55.41717,OM
Al Huwaysah 009,H6,3407.8,Found,2010,55410,22.75747,55.41402,OM
Ramlat as Sahmah 322,H3,264.4,Found,2009,51994,20.91903,55.41193,OM
Jiddat al Harasis 028,H4,1060,Found,2000,12116,19.62167,55.40833,OM
Jiddat al Harasis 699,L6,13.7,Found,2011,56251,19.204,55.40347,OM
Jiddat al Harasis 700,L6,93.2,Found,2011,56252,19.20743,55.4016,OM
Al Huwaysah 004,H5,141.51,Found,2010,55406,22.74733,55.39522,OM
Al Huwaysah 011,L4-5,112.76,Found,2010,55411,22.75978,55.3908,OM
Jiddat al Harasis 701,H6,914.2,Found,2011,56253,19.18835,55.3866,OM
Jiddat al Harasis 621,L6,43.4,Found,2009,51977,19.38518,55.3774,OM
Al Huwaysah 003,L4-6,273.05,Found,2010,55405,22.74862,55.37323,OM
Jiddat al Harasis 618,H4,42.9,Found,2009,51974,19.23997,55.37023,OM
Jiddat al Harasis 620,L6,244.6,Found,2009,51976,19.37127,55.36915,OM
Jiddat al Harasis 622,H5,76.5,Found,2009,51978,19.42165,55.36857,OM
Jiddat al Harasis 619,CO3,14.5,Found,2009,51975,19.32625,55.3659,OM
Jiddat al Harasis 623,H4,22.1,Found,2009,51979,19.43098,55.36403,OM
Jiddat al Harasis 624,L6,34.2,Found,2009,51980,19.43198,55.36335,OM
Al Huwaysah 017,L6,439.58,Found,2010,55415,22.73852,55.36247,OM
Jiddat al Harasis 704,H4,1.36,Found,2011,56256,19.20302,55.35093,OM
Jiddat al Harasis 703,H5,39.4,Found,2011,56255,19.20333,55.35002,OM
Jiddat al Harasis 612,H6,179.7,Found,2009,51968,19.0097,55.34313,OM
Jiddat al Harasis 705,H5,185,Found,2011,56257,19.25277,55.34193,OM
Jiddat al Harasis 706,H5,347.6,Found,2011,56258,19.28385,55.34087,OM
Al Huwaysah 012,H5,4694.9,Found,2010,55412,22.67752,55.34027,OM
Ramlat as Sahmah 296,L6,49.3,Found,2009,51897,20.66842,55.34008,OM
Al Huwaysah 013,H6,55.51,Found,2010,56408,22.68423,55.33652,OM
Jiddat al Harasis 707,L5,242.9,Found,2011,56259,19.32123,55.33573,OM
Jiddat al Harasis 613,H4/5,241,Found,2009,51969,19.0092,55.33403,OM
Al Huwaysah 016,H5,1330.9,Found,2010,55414,22.69813,55.3336,OM
